,0,1,2,3,4,5,6,7,8,9,10,11
AAPL,-2.913565454824769,0.3221447476388498,0.10924923894419146,0.2375917426267567,0.0046116430733716355,0.16429776406272187,0.011106599957711549,-0.02871992340968112,-0.03846242998228056,-0.04615205652058696,0.04350847033178949,-0.027804232195978013
ABNB,-5.264962394002741,0.35562864770178565,0.37197951645163485,-0.03573812481878881,-0.24923810088717982,-0.05260594565016746,0.058837713406170604,-0.13060308870403686,0.06185792801785341,-0.0866596330358082,0.07954430651445268,-0.027233335216877586
ADBE,10.548956882331781,2.2374441893082,-1.3272268704888572,-0.34514591207244355,0.23961807455534595,-0.4426898717187891,0.19967382657042457,-0.15820220571491023,0.06227264468721642,-0.06890566109759705,-0.4412845969619026,-0.22495469087671016
ADI,-2.2494290281837954,-0.5018920849869818,0.21977463710751838,0.15752687620329933,-0.10407597367377713,0.04573290202865295,0.07032433811437941,-0.031212246797524098,0.1180476773094296,-0.00574772834428711,0.05622987595876963,-0.0002979853332010893
ADP,0.3293574433155484,-0.938327973337466,-0.566693644672634,-0.48070126868758467,-0.16240979811297282,-0.04645218429920364,0.009898214494927764,-0.05866268132710512,-0.10793851209268443,0.19807137206726244,-0.007058856990271217,0.07281805730703819
ADSK,-1.0093188261870039,-0.5495359062381372,0.0015071024245294287,-0.08778712832233637,-0.041927065784971636,-0.24747952292881337,0.06163158143540519,0.004846562519894886,-0.006345309531297358,-0.10289407386239392,0.05850521089299906,0.07879134613644916
AEP,-6.894349377573874,-0.4318331203957104,0.1463767947904448,-0.08431495200418516,0.01295744821033698,0.05236597924463156,-0.07515954032730926,0.01545687922305369,0.07305970971656493,0.007687722586065556,-0.030946684057238695,-0.01818635878992324
ALGN,3.3916481520003634,-0.37293430665109023,1.4284568113065221,0.8935449105720565,-1.6515131856677554,0.08845366497145646,0.5058434809671334,-0.14952277071547387,-0.06790322941019311,-0.15864993366608904,-0.4392605986835781,0.26225583826283544
AMAT,-4.8798581061809765,0.4424890909320198,0.06813143815918613,0.007834950809093546,-0.025913447968753053,-0.07043341560398395,-0.0019099031306858592,0.06632177675751386,-0.024335099470411056,0.05756482150124502,0.022436115827598614,0.0529874363296828
AMD,-6.4215072220575,0.6579126498187587,0.24199235836850574,0.2507349492628355,0.06848259911855768,0.06640818953714064,-0.002052569088037217,0.12611922909314296,-0.026582494443617426,0.058690533125445296,0.06944874813869854,-0.007080730197562736
AMGN,1.263121824365159,-1.108995514871129,-0.5983519429416295,-0.8586062506639729,0.24421074174741675,0.0046722790286443374,0.007139786554492011,0.09776623882738396,-0.02210425098203929,0.0363906183235568,-0.07061512021291139,-0.0696038778051459
AMZN,-5.500002203203596,0.680652344528622,0.07276069441557424,-0.03649838769713595,0.04603250968668191,0.010061729835618207,-0.12035057542130467,0.01973324792351995,-0.07612661927040043,0.0269369008959732,-0.030927131042297478,-0.009053062192798316
ANSS,3.5547128586899026,-0.38134629872942305,0.44753381315026985,0.6814999729912922,-0.225503891732734,0.2876012341001713,0.3826403970694738,0.06310139075873737,0.22468399890787968,0.017512033248004964,0.07574038385280361,-0.11174599107034465
ASML,21.176168388539654,-2.4918390799250485,-0.40233804638656784,1.8547286941785501,-0.06397758892452379,-0.7436655775486211,-0.18221460991800234,0.4353712219394578,-0.10689361493027663,-0.20368907059634733,0.18735903381751634,-0.18032671221185362
AVGO,25.23145136296281,3.034115536827733,-2.0711335476421255,0.9654509508690691,0.03237236199730503,-0.22131210154518202,0.2829405573992371,0.20040844104300257,0.4793127577435355,0.10165453964744026,-0.12300173945883636,0.11587263817713675
AZN,-7.780987018581987,-0.030145397576692514,0.20678417321471082,-0.06756269034312515,-3.649276754859797e-05,0.1379491516858578,-0.08732195127424439,0.07552885868007482,-0.012696705428791,0.03662174282660201,-0.025164794000126996,0.011935229392334188
BIIB,2.570779395436455,-1.7558795801106155,-0.09631316700254534,0.40657421706424757,-0.0654290208243077,0.29335626730278375,-0.09847680044595424,0.19081604435815722,-0.30746958707573013,-0.053615387570865286,0.041831664893657715,0.15661488587353825
BKNG,121.66396254680572,1.397613759386972,1.0301900960885682,-1.1817580833478152,-1.2374835739433994,0.23292802522244954,-0.4158380437523539,0.09941735448279396,0.07148186748641917,0.18658685390814111,0.15780178084436713,-0.14655376838431727
BKR,-9.641265998179604,0.3377271334867263,0.22783934228204633,-0.19839827776893956,-0.03175951753560251,0.009062478819661563,-0.08034154567704882,0.017286212901194652,0.0234325351122352,0.010633821175720856,-0.023571043208348234,0.006550945990017517
CDNS,-0.5580522434282439,0.6280433076818447,0.13472099667413098,0.09231160711639691,0.22851522787284323,0.0814412010337685,0.12832036829610835,0.06846146954678975,0.13493009244320714,-0.06681953614239165,0.06508490454425517,-0.027294841662017472
CEG,-6.583846641723537,0.41397479899972484,-0.1540614056460034,-0.37755554181702866,0.14614393627067604,-0.036503022469423024,-0.0721444143375012,0.008779950843131153,-0.014869945381774599,0.030735326090754824,-0.004337415304772207,0.0315880193206359
CHTR,7.751102311220818,-0.6956999848554777,-0.5069230704318742,-1.1798170902572775,-0.31829105550100906,-0.5882606110343678,-0.07750504278447512,-0.014967412073024152,-0.25935267075313406,-0.44700541362396473,0.12722680427163646,0.12686300211013668
CMCSA,-9.208582366321165,0.32183778302774313,0.24118032591906186,-0.16298901535960872,-0.03441311454977272,0.03946247959668181,-0.10301251356870847,0.04419787569129086,-0.01511452854745982,0.010956329930832778,-0.02692892311549744,0.014160062500786484
